종목코드,현재가
036570,209000.0
454910,69200.0
148020,110225.0
051900,295500.0
271560,111500.0
011790,87700.0
458730,14815.0
082740,51300.0
034220,8400.0
001450,48800.0
0162Z0,13695.0
411060,27305.0
395160,40220.0
002380,468000.0
005385,172000.0
360200,26565.0
381170,31675.0
010060,204000.0
001040,127500.0
103590,76600.0
423160,110845.0
395270,57375.0
018880,3445.0
367380,31150.0
273130,109775.0
161890,145200.0
004170,362500.0
357870,58085.0
375500,86900.0
233740,6695.0
336260,50900.0
008930,48500.0
487240,37585.0
102780,25665.0
036460,35250.0
023530,113400.0
022100,20900.0
111770,71400.0
012750,83100.0
006360,36850.0
455890,55560.0
192820,273000.0
028670,5750.0
035250,14280.0
0043B0,103705.0
011780,119200.0
139130,18220.0
007340,49300.0
251270,34650.0
031210,41150.0
017800,73300.0
302440,35150.0
011170,63000.0
004800,159900.0
139260,137380.0
383220,69300.0
097950,174600.0
003690,14840.0
085620,19300.0
426030,47040.0
472150,20535.0
026960,25500.0
481050,1023395.0
486290,10550.0
009420,47650.0
450080,34900.0
004990,24600.0
0193T0,11715.0
489790,47950.0
282330,138400.0
278540,38830.0
449170,111920.0
161510,24975.0
004370,391500.0
000240,24500.0
005850,50000.0
014680,215000.0
005440,12640.0
001720,141000.0
204320,48200.0
483650,180300.0
018670,240500.0
103140,79300.0
020150,42300.0
279570,5390.0
385540,102815.0
112610,51400.0
009970,166200.0
069960,98200.0
456600,58810.0
051600,46550.0
139480,74000.0
284430,20850.0
081660,37950.0
073240,7010.0
030000,17300.0
002790,25950.0
457190,65100.0
007070,23350.0
292150,38420.0
000155,471000.0
229640,60500.0
181710,56700.0
214980,114425.0
294400,143645.0
462870,30800.0
439260,46850.0
071970,52500.0
089860,48900.0
475150,50900.0
305720,14670.0
441640,12440.0
442580,101235.0
120110,56800.0
023590,39200.0
105190,109580.0
475630,1077725.0
001430,45050.0
001120,41550.0
000120,70500.0
008770,40800.0
368590,30230.0
0195S0,9945.0
020560,7730.0
012630,26550.0
446770,78360.0
093370,14680.0
006040,35550.0
329200,4075.0
294870,23600.0
0177N0,14385.0
477080,107635.0
610063,55835.0
395400,5060.0
001820,144600.0
379780,22980.0
152100,110900.0
487230,19860.0
453850,7150.0
009155,510000.0
011210,54300.0
466920,27710.0
001800,24100.0
226490,70600.0
281820,72700.0
006280,122400.0
322000,127000.0
298020,325000.0
0193W0,11645.0
097230,15470.0
005070,41750.0
530031,3415.0
232080,14085.0
091230,138165.0
00680K,10450.0
157450,112670.0
700026,107805.0
361610,15720.0
415640,10450.0
448330,17255.0
390390,53100.0
069620,109200.0
007810,52500.0
001740,6260.0
007310,313000.0
438080,14060.0
436140,105970.0
003540,25900.0
192080,58000.0
0072R0,13020.0
000815,403500.0
300720,16350.0
0183J0,7945.0
066575,68200.0
280360,126600.0
330590,4000.0
004000,44500.0
000210,54500.0
030610,10000.0
356540,101070.0
469150,59950.0
465580,24765.0
006340,13890.0
017960,21000.0
0139F0,102255.0
497570,21400.0
445290,30600.0
494890,31485.0
494310,80715.0
0117V0,19590.0
455850,25120.0
494300,9070.0
469830,54470.0
000080,14850.0
449180,17110.0
446720,13575.0
479520,106535.0
451540,52765.0
449450,53045.0
295040,40975.0
003240,896000.0
760009,107470.0
0195R0,10590.0
195870,57500.0
402970,15055.0
006120,55500.0
003530,4495.0
315930,80100.0
192400,27000.0
495050,32400.0
487340,106040.0
237350,87285.0
438100,15230.0
077970,23500.0
000370,8070.0
051915,122500.0
451800,5230.0
003570,28150.0
032350,11720.0
305540,18700.0
009240,39000.0
003090,15710.0
006110,59700.0
009450,61300.0
034230,9600.0
003160,31400.0
030190,15200.0
479080,53850.0
185750,63800.0
285130,50700.0
071055,149500.0
0048J0,13805.0
