종목코드,현재가,거래대금,시가,고가,저가,거래량,NXT거래대금
253230,70.0,331000000.0,,,,,
580033,4585.0,16000000.0,,,,,
500051,1138.0,0.0,,,,,
001525,8430.0,53000000.0,8510.0,8520.0,8310.0,6311.0,
280320,22110.0,129000000.0,,,,,
008355,7100.0,1000000.0,7100.0,7100.0,6960.0,152.0,
334700,3340.0,0.0,,,,,
500030,57.0,6000000.0,,,,,
700018,1794.0,12000000.0,,,,,
570070,1652.0,0.0,,,,,
253240,1260.0,22000000.0,,,,,
306520,2290.0,68000000.0,,,,,
253160,142.0,219000000.0,,,,,
004545,3305.0,3000000.0,3790.0,3790.0,3305.0,935.0,
011155,5890.0,6000000.0,5730.0,5900.0,5720.0,1035.0,
261920,11550.0,7000000.0,,,,,
500038,1098.0,0.0,,,,,
001527,5180.0,18000000.0,5500.0,5500.0,5090.0,3542.0,
412560,1553.0,18000000.0,,,,,
004415,4305.0,4000000.0,4440.0,4440.0,4305.0,1049.0,
002785,10390.0,11000000.0,10420.0,10420.0,10100.0,1170.0,
465620,6395.0,0.0,,,,,
002787,14120.0,17000000.0,14050.0,14450.0,14050.0,1257.0,
196170,249500.0,63718000000.0,257000.0,257500.0,248500.0,252269.0,61571902000.0
086520,80100.0,24620000000.0,81000.0,81700.0,80000.0,305608.0,20230908000.0
247540,104300.0,27983000000.0,104700.0,106200.0,103400.0,267505.0,11393592000.0
036930,203500.0,172210000000.0,212000.0,213500.0,200500.0,833292.0,
277810,438000.0,25362000000.0,444500.0,453500.0,438000.0,56806.0,19985752000.0
240810,130300.0,163498000000.0,133000.0,134900.0,125600.0,1256365.0,
039030,473500.0,37870000000.0,491000.0,494500.0,473000.0,79200.0,17286380000.0
058470,75000.0,129115000000.0,71300.0,76900.0,70400.0,1735870.0,86644971000.0
222800,148100.0,272360000000.0,138600.0,156600.0,138400.0,1814102.0,255321456000.0
403870,54300.0,65139000000.0,56000.0,56000.0,53600.0,1187439.0,
095340,208000.0,47540000000.0,216000.0,221500.0,205000.0,223548.0,29091467999.999996
108490,300000.0,80961000000.0,308000.0,313500.0,297500.0,264982.0,92243375000.0
028300,31050.0,16904000000.0,31950.0,32150.0,30850.0,536486.0,14824007000.0
000250,162600.0,10008000000.0,162900.0,163800.0,158500.0,62093.0,6708315000.0
319660,130900.0,28516000000.0,138500.0,139200.0,129300.0,214666.0,25696454000.0
440110,72300.0,45472000000.0,68000.0,73000.0,67000.0,638241.0,
084370,149400.0,21951000000.0,144900.0,152800.0,143400.0,147663.0,12920953000.0
031980,158200.0,28317000000.0,172000.0,173200.0,157400.0,174292.0,0.0
214450,324000.0,19112000000.0,328500.0,329500.0,324000.0,58692.0,8074442999.999999
087010,142000.0,34417000000.0,158600.0,158600.0,141700.0,232289.0,22023602000.0
131290,281000.0,26570000000.0,275000.0,282500.0,262500.0,97169.0,0.0
064760,272500.0,9806000000.0,272500.0,282000.0,269000.0,35661.0,3945716000.0
067310,45650.0,170412000000.0,45200.0,47850.0,44100.0,3706701.0,
141080,80200.0,11665000000.0,82200.0,82300.0,79900.0,143782.0,6944441999.999999
095610,148600.0,26112000000.0,151200.0,153800.0,145900.0,173520.0,0.0
298380,51100.0,21943000000.0,53300.0,53400.0,50800.0,422106.0,20815266000.0
